"baseMean","log2FoldChange","lfcSE","pvalue","padj","ENSEMBL","SYMBOL","ENTREZID"
24169.6550051508,6.25222765707451,0.142589190994794,0,0,"ENSG00000099953","MMP11","4320"
553.860163019482,-4.73524552403453,0.12160819733518,0,0,"ENSG00000101605","MYOM1","8736"
4841.50102917189,-4.42583698582829,0.105671368161565,0,0,"ENSG00000119927","GPAM","57678"
8511.77176514011,7.09861463266331,0.154690188635835,0,0,"ENSG00000123500","COL10A1","1300"
1462.94559548625,4.22260089626899,0.111251869523141,3.49319233579137e-318,1.27089323560761e-314,"ENSG00000117650","NEK2","4751"
9063.31738360755,-5.01674731068641,0.139046461617431,7.10500743484466e-285,2.15411983745432e-281,"ENSG00000022267","FHL1","2273"
15095.8404996123,-3.11805511354747,0.0869920710932908,1.00689238102054e-281,2.61662561473496e-278,"ENSG00000079308","TNS1","7145"
11993.7257307338,6.16123199083907,0.175616555121115,3.60999056200835e-272,8.20866728918673e-269,"ENSG00000060718","COL11A1","1301"
755.264773720547,-4.98514374607252,0.145061508774585,9.8444204225621e-259,1.98977613229808e-255,"ENSG00000133800","LYVE1","10894"
1531.47526662707,3.82381631785914,0.111740270950951,1.57365552371731e-258,2.86263676319415e-255,"ENSG00000090889","KIF4A","24137"
920.390612382376,3.9847540195414,0.11824705706972,3.02489802360917e-250,5.0023563588613e-247,"ENSG00000127564","PKMYT1","9088"
478.256239577459,4.96493425097254,0.149782553296135,3.0287025371304e-242,4.59126065441159e-239,"ENSG00000203805","PLPP4","196051"
8578.35303112792,-3.39043409118017,0.10245048741048,1.49652504355284e-240,2.09409900517459e-237,"ENSG00000105974","CAV1","857"
3685.00320078661,-2.449038428875,0.0744017879170629,3.26974446827315e-238,4.24856583016835e-235,"ENSG00000170145","SIK2","23235"
6602.49253992622,-3.66946213048725,0.11149136988501,1.03188654209092e-237,1.25140320581173e-234,"ENSG00000095637","SORBS1","10580"
367.208561961359,-4.71078900499579,0.143204516977189,2.38806225785452e-237,2.71507753328947e-234,"ENSG00000134962","KLB","152831"
1176.28156447664,-3.61717411367008,0.111240759681579,3.76829903955382e-232,4.03230163697197e-229,"ENSG00000169418","NPR1","4881"
2240.03845208427,3.68911926023264,0.113851541978935,5.8332928835751e-230,5.89519060250637e-227,"ENSG00000183856","IQGAP3","128239"
445.097448271847,-3.99490596381198,0.124038855310403,8.53760529527754e-228,8.17408304875756e-225,"ENSG00000163815","CLEC3B","7123"
973.678981046506,-5.13712864471654,0.159439959186627,1.27654764544916e-227,1.16108391091828e-224,"ENSG00000173641","HSPB7","27129"
2254.4218852564,-4.12833762789333,0.128359227888264,3.81160957554022e-227,3.30176141850724e-224,"ENSG00000056998","GYG2","8908"
273.406317359911,-4.63512361286452,0.144680146472775,3.42174103846956e-225,2.82931323776362e-222,"ENSG00000181856","SLC2A4","6517"
4794.83476394588,-3.99411663721773,0.125061562019311,8.36145355713681e-224,6.61318268077721e-221,"ENSG00000131471","AOC3","8639"
768.203809148255,-5.03691336128954,0.158238924188334,2.70065449294285e-222,2.04698357838014e-219,"ENSG00000120049","KCNIP2","30819"
2244.3670032542,4.17728447619197,0.13104075787819,4.94935785564861e-221,3.60135075008416e-218,"ENSG00000175063","UBE2C","11065"
162.172174180159,8.1398853156637,0.219318570958644,3.00251523470126e-219,2.10072133209426e-216,"ENSG00000029559","IBSP","3381"
568.069608135484,-5.21120737353453,0.165082358474364,1.02617327183515e-218,6.91374740294561e-216,"ENSG00000123612","ACVR1C","130399"
4431.19972132991,3.54525694370993,0.112883534175319,3.82252474870629e-218,2.48341241798986e-215,"ENSG00000088325","TPX2","22974"
341.470941489955,3.38155332270974,0.10806695097527,1.41681352601079e-217,8.88732925919387e-215,"ENSG00000158402","CDC25C","995"
1511.20045654687,3.03600760614538,0.0972744571384755,1.81379081540331e-215,1.09982229076672e-212,"ENSG00000105011","ASF1B","55723"
1000.95868152116,3.7545940427045,0.120442140360747,3.84030179014627e-215,2.25351386659841e-212,"ENSG00000143228","NUF2","83540"
1232.06171493619,3.33347090783267,0.106297647107557,5.19783008061121e-215,2.95480396863745e-212,"ENSG00000276043","UHRF1","29128"
148.013628557987,-5.05462120289655,0.162614416252379,3.88268855001387e-212,2.14030264888795e-209,"ENSG00000172901","LVRN","206338"
294.038102806063,2.9946040499335,0.0971452160256108,2.69631249577274e-210,1.44260648854711e-207,"ENSG00000025423","HSD17B6","8630"
36687.4747897293,-2.56454397803816,0.0830953163215373,5.08062528681534e-210,2.64061870264165e-207,"ENSG00000148180","GSN","2934"
1328.53529655767,3.20148079604876,0.103301567739587,6.93851251405975e-210,3.50606892064613e-207,"ENSG00000077152","UBE2T","29089"
416.455750367061,2.79125551442529,0.0907969491446007,5.46197558515489e-209,2.68537291539331e-206,"ENSG00000152253","SPC25","57405"
83.7647858340769,-4.20875517587496,0.136594615368994,1.03942580089548e-208,4.97584072212884e-206,"ENSG00000135437","RDH5","5959"
870.953981501379,3.50452403713219,0.114424251429383,3.82157170120359e-208,1.78251822606653e-205,"ENSG00000123485","HJURP","55355"
1300.89596685093,-2.25365654281672,0.0733132066884952,5.50658603963e-208,2.50425766617273e-205,"ENSG00000165410","CFL2","1073"
62.5072474714972,-3.8917772609649,0.127113654467495,3.32441384842073e-206,1.47498566625906e-203,"ENSG00000145708","CRHBP","1393"
21426.8453125153,-2.04196783502147,0.0670896929511413,1.23106418504686e-204,5.33197347385414e-202,"ENSG00000115306","SPTBN1","6711"
3716.57756383626,-3.65972639449419,0.120157703559964,4.92481671234277e-204,2.08342653056342e-201,"ENSG00000076555","ACACB","32"
1675.84082425312,6.2867151592999,0.204107949584582,6.82646911625051e-203,2.82227953849348e-200,"ENSG00000137745","MMP13","4322"
371.719495012877,3.22166589019169,0.107263204137894,2.80649933169612e-201,1.1345117631752e-198,"ENSG00000166803","PCLAF","9768"
282.184535449734,-3.83800752374883,0.127073301464675,1.03224413709274e-200,4.08207676040304e-198,"ENSG00000124743","KLHL31","401265"
3.42925726766271,-1.57900597211418,0.0525471589806387,3.68348846245737e-199,1.42566677916089e-196,"ENSG00000249931","GOLGA8K","653125"
621.051058495876,3.32868545938567,0.110923292911065,4.7765218928968e-199,1.77325938272828e-196,"ENSG00000169607","CKAP2L","150468"
2614.80381479505,3.13834906472685,0.104672292768628,4.76179160251055e-199,1.77325938272828e-196,"ENSG00000170312","CDK1","983"
6321.36730534595,-2.02578714821306,0.067725933552147,7.52979402322113e-199,2.73948966152831e-196,"ENSG00000121691","CAT","847"
179.753106501425,-3.77590295259341,0.126435992981851,2.96704441464975e-196,1.05830401856654e-193,"ENSG00000183549","ACSM5","54988"
109.552032185565,-6.99797388483174,0.113072353751181,6.73740042932414e-196,2.3569240617276e-193,"ENSG00000068976","PYGM","5837"
1709.60598700489,3.02226192150494,0.101729034386084,2.25930915782747e-195,7.75454582830936e-193,"ENSG00000143476","DTL","51514"
750.189883693037,3.49174907986584,0.118314279810339,1.23367141456452e-194,4.15587346339688e-192,"ENSG00000135451","TROAP","10024"
1347.75174485592,3.41894580776612,0.115447219138414,1.25927364056348e-192,4.16499032645278e-190,"ENSG00000138180","CEP55","55165"
1682.89812425522,3.35899151582103,0.114064377045607,2.20114048946457e-192,7.15016904354464e-190,"ENSG00000112984","KIF20A","10112"
4447.71270452281,3.39359909356543,0.114993043554889,2.77556123491755e-192,8.85793586392721e-190,"ENSG00000122641","INHBA","3624"
273.985700394934,-2.82516259123658,0.095660864030136,3.86582479760192e-192,1.21246929126166e-189,"ENSG00000165028","NIPSNAP3B","55335"
2998.27112108203,-4.00506437829283,0.135661746023458,9.10957220109251e-192,2.8086818289843e-189,"ENSG00000123243","ITIH5","80760"
1761.06975489978,-2.84109696498023,0.0963163515715284,1.14264388394378e-191,3.4643058154702e-189,"ENSG00000108960","MMD","23531"
823.956269435519,3.4330656861228,0.117143875676551,2.57964128852517e-191,7.69282863599368e-189,"ENSG00000168078","PBK","55872"
6546.99883175452,3.25196416604294,0.110743331045272,9.87444480372546e-191,2.8971939584608e-188,"ENSG00000117724","CENPF","1063"
1542.7886329894,3.27466279368881,0.111906113829179,8.61626608314335e-190,2.48791263997557e-187,"ENSG00000169679","BUB1","699"
